relative_path,sha256
outputs/pxq_probability_v4_1/common_probability_sample.csv,84845366ff474a26e9c6ae6e362474a7712289f1ed925e2bb1b932be81f00ba1
outputs/pxq_probability_v4_1/figures/pxq_independence_reliability.png,a1594023379c91985977321939ad64880eb8f10a87cc7f0078daa6814d3e3749
outputs/pxq_probability_v4_1/input_audit.json,8272e7d1f066ca6abe23256e720638503e7a7dc9095925dd72fcb66efb185a19
outputs/pxq_probability_v4_1/native_coverage.csv,1f1d9f44ba1478d27152c54f80885f7747b51a90a7cf54100270cc612854468f
outputs/pxq_probability_v4_1/origin_brier_head_to_head.csv,1319feb2e4710303f13d2efbdaaf8db91e17e585d2f55107217a3ef53bb9aa83
outputs/pxq_probability_v4_1/paired_brier_comparisons.csv,a05445ce889edb73c3656ddf9f98bdd7791c76d7b3564b8af92f8b92cc4d6818
outputs/pxq_probability_v4_1/probability_components.csv,9c43b4dd259320de6dc3c1fece996c6c0ed3169db9e0d1b68e7ccfe3baed0c73
outputs/pxq_probability_v4_1/probability_predictions.csv,b89f1db556cfe7da3fcf96f1ac56e64ca70cecffce0c94938fa604e2cb7ff817
outputs/pxq_probability_v4_1/probability_validation_outcome.json,3f5ad30f4c2db0328fc9b086ea3dbb7ec93d5fae7dcc28348878476ba56dfdf5
outputs/pxq_probability_v4_1/probability_value_gate.csv,a6788065331854fcccbfa0a336c4899822426d436fc95d0739f31972df7b11f7
outputs/pxq_probability_v4_1/reliability_bins.csv,7c109a37ffc53958f32fca7487e54eb7d832ca339c8cd8e359ea0effd9df96be
outputs/pxq_probability_v4_1/rolling_probability_audits.csv,579b70170d145fa3480cc7fb8dd1b95e0b01cb3b86b503b2d5b8fc4d01c6c1ee
outputs/pxq_probability_v4_1/summary_by_horizon_model.csv,3a586f53618309ed6efec5c8a0a87dfe4b8fb76e573cf3f84bdd28ced62a9be7
outputs/pxq_probability_v4_1/summary_by_origin_model.csv,3884fcb640b3b08c5cc2328b84a52e1be6838cbf616ae49c4d7dba80ad360a39
outputs/pxq_probability_v4_1/summary_by_profile_model.csv,d4087c7d8f8fe4c1b0f8c586f1010388305a60a2d66c9d783d22f72f1b8881c6
outputs/pxq_probability_v4_1/validation_summary.json,d8567d4bba41316a3ae0bf6b8718253befe69ed0681473cbf2773a74b8ff9ca3
