path,bytes,sha256
config/analysis_business_features.yaml,1997,8bd3c0c8b4ecf236deada8c13fbaf836b3ee3ba3d11597e5f5a71b50994c3cda
outputs/business_features_v3/audit/audit_summary.json,2240,fd99c3d7b13adf411d22883b1329e017608c63a696f62141eb3bfe90a8258009
outputs/business_features_v3/audit/v2_intervals.csv,62421,6716ce7ba08f2da72a79b93b4ced8d932af74b8c064c3670814b2d95b52b2b49
outputs/business_features_v3/clustering/approx_entropy_sensitivity.csv,2034,473eee10e184acef86dc126ccacfc033c60103cb07bbae03ba9cf0280efaa5ba
outputs/business_features_v3/clustering/business_feature_diagnostics_summary.json,461,ffa6b36f933ae5ed0eaa8cba60750e479d29633ed96744c1f16eaf2dac772b4e
outputs/business_features_v3/clustering/business_feature_screening_summary.json,1091,5b055f581b88bb06d28b3a55cf67b5a6d21280cf4ecf0b1d6f316cd9d7ada87a
outputs/business_features_v3/clustering/candidate_pairwise_ari.csv,228,a913620c2efabc3633e756850333dca2fe6b9263f9f3699d89d5ed855f1a9f8a
outputs/business_features_v3/clustering/candidate_profile_intervals.csv,6518,4d94c59e3729ad76e6838c6fe401f867da7f85dc73a2cb5bd56f8c28e8f9da1a
outputs/business_features_v3/clustering/feature_correlations.csv,4929,ce6077f1b98a2ea7217228d5126a42bea9862c304e31f82b78deb2c944f06391
outputs/business_features_v3/clustering/feature_grid_k2_500.csv,24411,58dab4cdbade049abe34b0e7dac2d665dd353194d8faa8bc440e853ae3d98d5d
outputs/business_features_v3/clustering/feature_increment_diagnostics.csv,1124,0b11c1fd1aeb910aaa370545d1fc430c46a753ecca51fa998e624f79218fbdfd
outputs/business_features_v3/clustering/features_raw_all_skus.csv,68297,0bac84e6dc53e1e9faf35b6d61fdc36bb8398c91290785f97943e685b4b28a6b
outputs/business_features_v3/clustering/features_v2_all_skus.csv,68225,4f569ecab0cea572180ed2c5d8230023cf68348072e888d4d94be9c92a90cfe5
outputs/business_features_v3/clustering/features_v2_main_sample.csv,56580,8f34d2f3e167e4aa72352a88c2a6b9bcdaf7860088c0c5cb95094fed789fa113
outputs/business_features_v3/clustering/figures/v3_feature_pareto_frontier.png,113312,86e23f1dcb7cd0198999ed9e8823a1f8c3fa1506886c96b737c08effc7b94f9b
outputs/business_features_v3/clustering/figures/v3_incremental_feature_effects.png,89710,0e28911974d581115706f19fa067be9b70b3cc38344ce55e096cdae99548a477
outputs/business_features_v3/clustering/figures/v3_recommended_assignment_stability.png,74568,fdc8eb6c6b1e74c0617b2a1679b88acc980d7e409c2e1d11494b4a1f1a0953a3
outputs/business_features_v3/clustering/figures/v3_recommended_k_sensitivity.png,54528,b307bed59dc7fc900dd8dbb77297c64a6c4c42ac6c2ec0a368e800e5c36eb300
outputs/business_features_v3/clustering/figures/v3_recommended_ward_dendrogram.png,58047,01544e6cee7143d5780348fc4e6393d0ea57b3a90ad30cd16dc19295df97beec
outputs/business_features_v3/clustering/long_history_seasonality_sensitivity.csv,2042,6d8764d816655c2c5f34a5cbacaf5470a56d2ff2fc2960027b4fb0fd4f684df2
outputs/business_features_v3/clustering/pareto_candidate_assignment_stability.csv,28841,c8850e0dbaa5fa6b85f07685c00c6d2e44a2fd6d97409de19ed0605e78ea7978
outputs/business_features_v3/clustering/pareto_candidate_profile_effects.csv,1518,bf73cfb9f39b015991197499642edd9d94a05859b5c38dad4db361bec6043c8a
outputs/business_features_v3/clustering/pareto_candidate_profiles.csv,3369,fee08df6eb51977da4b3cb74a0d1cb66d586d72c47b06179213e6a2168c25552
outputs/business_features_v3/clustering/pareto_candidate_robustness.csv,539,d0db80da7e2918869fa26964bf2cfe2ca84fa5aa6fc908db81575c91bfd996ad
outputs/business_features_v3/clustering/post_selection_k2_to_k6.csv,4560,9b1b88179868779ffa93a39a65c763c445752272ca833d5ea678a3f13ba02f2a
outputs/business_features_v3/clustering/recommended_main_cluster_assignments.csv,79184,e1d08981eb4bad6b22c977f98917760681f8f91ae320d05bd8bf1578983f74a2
outputs/business_features_v3/validation_summary.json,506,ef7fc1969a3fa016a58c2128243d422e90b8c6eb8c99f10c02443681a10d6eb5
protocol/amendment_v3.0_business_aware_feature_screening.md,4381,e7cc960bd59eda1e4f1a9f4a9d9ab2280514fa4447ca4ae0a1e768f8fa8aa108
protocol/feature_dictionary_v3.md,2665,174f2cad9b0982fc25460aa5bc129d86c9bcfa917f0237028a48eb2e63982aa8
protocol/feature_evidence_registry_v3.csv,3951,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
reports/business_feature_review_v3.md,9940,b2dde0c32b5c5960209434958496dd8f567a8c9a783a0000dd138c19553ca5a9
